Watershed,Plot,N,FQI,D,Bison,BurnCycle
004b,a1,27,22.94558781,7.980204139,No Graze,4
004b,a2,24,21.26847023,6.822444429,No Graze,4
004b,a3,23,20.68046949,5.581439638,No Graze,4
004b,a4,24,21.89401348,7.002567165,No Graze,4
004b,a5,32,23.52829457,8.603989698,No Graze,4
004b,b1,26,23.2,9.665397021,No Graze,4
004b,b2,27,23.14170395,8.407195417,No Graze,4
004b,b3,33,25.80939751,8.986120124,No Graze,4
004b,b4,26,20.8,7.413333663,No Graze,4
004b,b5,28,24.82606158,6.896053751,No Graze,4
004b,c1,24,23.7706432,9.141804879,No Graze,4
004b,c2,17,21.343135,7.584815415,No Graze,4
004b,c3,23,21.74647307,7.021044927,No Graze,4
004b,c4,25,20.82066281,9.639495731,No Graze,4
004b,c5,27,24.31840076,6.191396872,No Graze,4
004b,d1,22,22.69466058,7.319594396,No Graze,4
004b,d2,25,23.4742767,7.748566159,No Graze,4
004b,d3,22,20.73069957,8.540337778,No Graze,4
004b,d4,23,20.68046949,7.643744093,No Graze,4
004b,d5,25,21.2289111,4.992259749,No Graze,4
n04d,a1,46,26.83450967,22.42338805,Grazed,4
n04d,a2,44,24.37992929,18.46392696,Grazed,4
n04d,a3,40,24.33321317,17.29823119,Grazed,4
n04d,a4,43,24.51928062,16.8406173,Grazed,4
n04d,a5,37,22.31207232,16.18850254,Grazed,4
n04d,b1,41,21.29704446,12.54270106,Grazed,4
n04d,b2,40,22.87322038,10.92275804,Grazed,4
n04d,b3,31,21.16926855,7.553414441,Grazed,4
n04d,b4,40,22.54877754,13.013255,Grazed,4
n04d,b5,40,26.90152984,16.97122177,Grazed,4
n04d,c1,46,27.87631412,17.87140417,Grazed,4
n04d,c2,45,23.81939622,13.14459784,Grazed,4
n04d,c3,45,21.91107569,11.26584554,Grazed,4
n04d,c4,44,23.14550249,13.77715182,Grazed,4
n04d,c5,46,22.3118395,12.04205847,Grazed,4
n04d,d1,31,23.70789987,10.33845007,Grazed,4
n04d,d2,42,22.13594362,15.89552186,Grazed,4
n04d,d3,43,23.73841181,10.6189435,Grazed,4
n04d,d4,39,24.49544911,11.69099211,Grazed,4
n04d,d5,39,23.50905518,12.2215126,Grazed,4
00wa,a1,30,26.47325695,7.285754685,No Graze,1
00wa,a2,26,25.29898143,7.639642156,No Graze,1
00wa,a3,27,25.40341184,9.235146151,No Graze,1
00wa,a4,26,22.74947168,8.880642955,No Graze,1
00wa,a5,24,22.93658555,8.338808117,No Graze,1
00wa,b1,21,20.73069957,4.518164913,No Graze,1
00wa,b2,21,19.901005,8.988397195,No Graze,1
00wa,b3,21,19.901005,7.534667787,No Graze,1
00wa,b4,20,19.72975311,5.8606647,No Graze,1
00wa,b5,16,19.10671784,5.309249395,No Graze,1
00wa,c1,22,24.09168095,6.987777222,No Graze,1
00wa,c2,24,23.67840085,8.315535136,No Graze,1
00wa,c3,26,24.51451689,6.35527262,No Graze,1
00wa,c4,23,21.89401348,5.077498377,No Graze,1
00wa,c5,23,21.89401348,6.785296038,No Graze,1
00wa,d1,20,22.36067977,5.2952404,No Graze,1
00wa,d2,17,21.58567063,5.301848922,No Graze,1
00wa,d3,17,21.82820625,5.035985009,No Graze,1
00wa,d4,19,21.10624752,5.749214131,No Graze,1
00wa,d5,22,23.66527952,7.295637336,No Graze,1
020b,a1,17,16.5,3.953353869,No Graze,20
020b,a2,16,16.78292783,3.411258309,No Graze,20
020b,a3,19,18.62047857,6.29460116,No Graze,20
020b,a4,13,15.8771324,2.907512429,No Graze,20
020b,a5,23,15.77685301,4.895149583,No Graze,20
020b,b1,31,20.630883,6.016148541,No Graze,20
020b,b2,22,20.73069957,7.940739391,No Graze,20
020b,b3,26,20.8,6.262940185,No Graze,20
020b,b4,27,21.96500714,10.84692594,No Graze,20
020b,b5,31,22.09147649,7.777355529,No Graze,20
020b,c1,29,20.41008154,7.346411286,No Graze,20
020b,c2,29,22.16112327,7.949271423,No Graze,20
020b,c3,31,21.9120499,8.912471895,No Graze,20
020b,c4,22,15.92990599,4.494359279,No Graze,20
020b,c5,19,15.79205145,3.04183929,No Graze,20
020b,d1,28,24.63361149,10.15038598,No Graze,20
020b,d2,20,17.44196727,7.471310309,No Graze,20
020b,d3,24,21.89401348,5.102837317,No Graze,20
020b,d4,24,22.3110423,4.833178989,No Graze,20
020b,d5,29,22.67786838,9.574773228,No Graze,20